algo name,input dist,retval,n elem,round no,n comps,time sec
selection,rising,2,100000,3,1073741824,7.026925100
selection,almost rising,2,100000,1,1073741824,7.009633200
selection,almost rising,2,100000,2,1073741824,7.030554900
selection,almost rising,2,100000,3,1073741824,7.029865300
stdlib qsort,random,0,100000,1,0,0.011001300
stdlib qsort,random,0,100000,2,0,0.013869000
stdlib qsort,random,0,100000,3,0,0.014636600
stdlib qsort,rising,0,100000,1,0,0.007209900
stdlib qsort,rising,0,100000,2,0,0.005253500
stdlib qsort,rising,0,100000,3,0,0.005325500
stdlib qsort,almost rising,0,100000,1,0,0.006197800
stdlib qsort,almost rising,0,100000,2,0,0.005438300
stdlib qsort,almost rising,0,100000,3,0,0.005425200
deterministic bogosort,random,2,100000,1,1073741824,12.095030100
deterministic bogosort,random,2,100000,2,1073741824,13.012603300
deterministic bogosort,random,2,100000,3,1073741824,13.008814500
deterministic bogosort,rising,0,100000,1,99999,0.000494500
deterministic bogosort,rising,0,100000,2,99999,0.000696500
deterministic bogosort,rising,0,100000,3,99999,0.000423000
deterministic bogosort,almost rising,2,100000,1,1073741824,10.041453000
deterministic bogosort,almost rising,2,100000,2,1073741824,11.034443200
deterministic bogosort,almost rising,2,100000,3,1073741824,11.008884100
extended radix sort,random,0,100000,1,0,0.005532700
extended radix sort,random,0,100000,2,0,0.005773300
extended radix sort,random,0,100000,3,0,0.005929200
extended radix sort,rising,0,100000,1,0,0.004859600
extended radix sort,rising,0,100000,2,0,0.005061300
extended radix sort,rising,0,100000,3,0,0.005778500
extended radix sort,almost rising,0,100000,1,0,0.004866500
extended radix sort,almost rising,0,100000,2,0,0.005017400
extended radix sort,almost rising,0,100000,3,0,0.005757700
bubblesort,random,2,1000000,1,1073741824,6.053623700
bubblesort,random,2,1000000,2,1073741824,6.051353800
bubblesort,random,2,1000000,3,1073741824,6.054007900
bubblesort,rising,2,1000000,1,1073741824,12.029175300
bubblesort,rising,2,1000000,2,1073741824,12.042727700
bubblesort,rising,2,1000000,3,1073741824,12.066715900
bubblesort,almost rising,2,1000000,1,1073741824,12.056581800
